Month,HSP,Petrol,Diesel
Apr-09,31616,31861,149389
May-09,33098,33064,165037
Jun-09,31780,33568,180344
Jul-09,27186,28994,130538
Aug-09,27286,29333,113378
Sep-09,26818,29892,113739
Oct-09,29399,33126,209108
Nov-09,28645,33732,182410
Dec-09,28637,33220,137201
Jan-10,27850,32447,146026
Feb-10,26478,31754,144851
Mar-10,29303,35581,168637
Apr-10,28238,36011,204371
May-10,33479,42948,168354
Jun-10,31635,41452,204121
Jul-10,29053,39148,165381
Aug-10,27918,37322,119496
Sep-10,25092,35216,116634
Oct-10,28734,39154,215199
Nov-10,31381,43104,189619
Dec-10,28907,42179,167819
Jan-11,28295,45558,168677
Feb-11,26604,41215,179027
Mar-11,27291,45586,194278
Apr-11,27827,45401,223372
May-11,31074,49192,238000
Jun-11,25253,42026,177494
Jul-11,24507,39772,135318
Aug-11,24558,38536,99716
Sep-11,22725,36093,125061
Oct-11,26083,41383,188749
Nov-11,23984,41495,236523
Dec-11,22773,40405,197639
Jan-12,24045,42360,164944
Feb-12,25105,42019,168544
Mar-12,26953,43751,167551
Apr-12,30346,48873,181703
May-12,27564,46944,201045
Jun-12,28008,48842,217812
Jul-12,22535,38155,151861
Aug-12,21630,36350,110117
Sep-12,20602,38321,114250
Oct-12,20675,44878,203975
Nov-12,22853,47397,203538
Dec-12,20708,45485,180126
Jan-13,20243,45400,173754
Feb-13,19210,41035,154222
Mar-13,19415,46108,154496
Apr-13,21688,52999,186611
May-13,25741,63387,208187
Jun-13,18428,51630,197188
Jul-13,20294,53212,106581
Aug-13,18805,48501,115054
Sep-13,19645,52732,126459
Oct-13,17626,55066,203420
Nov-13,17558,53870,167745
Dec-13,17652,51887,129916
Jan-14,16519,52099,103613
Feb-14,16850,52036,106412
Mar-14,17090,56911,136289
Apr-14,17301,61921,146829
May-14,20739,66445,149699
Jun-14,20827,69795,165751
Jul-14,17083,60251,121644
Aug-14,21815,60853,90240
Sep-14,21146,56184,114425
Oct-14,27604,67258,174737
Nov-14,24882,60163,173439
Dec-14,19496,69133,131073
Jan-15,17150,77661,104597
Feb-15,15201,71273,119503
Mar-15,11550,64078,112798
Apr-15,9505,81857,140505
May-15,10110,111832,184527
Jun-15,11296,122617,206393
Jul-15,10944,104650,137973
Aug-15,13905,100541,128200
Sep-15,15029,110441,185919
Oct-15,14145,126279,232151
Nov-15,11367,137375,223190
Dec-15,11287,112993,160290
Jan-16,10846,102289,132146
Feb-16,9064,97823,133871
Mar-16,10626,108273,140204
Apr-16,7158,118033,143070
May-16,7558,104723,142884
Total,1888929,4874757,13786977
